City,Country,Region
San Francisco,United States,North America
New York,United States,North America
Los Angeles,United States,North America
Chicago,United States,North America
Miami,United States,North America
Toronto,Canada,North America
Mexico City,Mexico,Latin America
Sao Paulo,Brazil,Latin America
Bogota,Colombia,Latin America
London,United Kingdom,Europe
Paris,France,Europe
Berlin,Germany,Europe
Amsterdam,Netherlands,Europe
Madrid,Spain,Europe
Lagos,Nigeria,Africa
Nairobi,Kenya,Africa
Johannesburg,South Africa,Africa
Cairo,Egypt,Africa
Accra,Ghana,Africa
Dubai,United Arab Emirates,Middle East
Riyadh,Saudi Arabia,Middle East
Mumbai,India,Asia Pacific
Singapore,Singapore,Asia Pacific
Sydney,Australia,Asia Pacific
Tokyo,Japan,Asia Pacific
Sao paulo ,Brazil,Latin America
